20260416_131424,28.2,68.5,61,130,0,0,0,0
20260416_131525,28.2,68.7,61,130,0,0,0,0
20260416_131626,28.3,68.8,61,130,0,0,0,0
20260416_131726,28.3,68.9,61,124,0,0,0,0
20260416_131827,28.3,68.9,61,127,0,0,0,0
20260416_131928,28.3,68.7,61,120,0,0,0,0
20260416_132029,28.3,69,61,130,0,0,0,0
20260416_132130,28.3,69.2,61,130,0,0,0,0
20260416_132231,28.3,69.4,60,130,0,0,0,0
20260416_132332,28.4,69.7,61,130,0,0,0,0
20260416_132432,28.4,69.7,61,130,0,0,0,0
20260416_132533,28.4,69.9,61,130,0,0,0,0
20260416_132634,28.4,70,61,130,0,0,0,0
20260416_132736,28.4,70.1,61,130,0,0,0,0
20260416_132839,28.4,70.4,61,130,0,0,0,0
20260416_132942,28.4,70.5,61,130,0,0,0,0
20260416_133047,28.4,70.7,61,127,0,0,0,0
20260416_133155,28.5,--,62,--,0,0,0,0
20260416_133258,--,71.2,62,130,0,0,0,0
20260416_133401,28.5,71,62,--,0,0,0,0
20260416_133503,28.5,71,62,130,0,0,0,0
20260416_133605,28.5,71.1,62,124,0,0,0,0
20260416_133708,28.5,71.9,62,130,0,0,0,0
20260416_133812,28.5,71.8,62,130,0,0,0,0
20260416_133916,--,71.9,--,130,0,0,0,0
20260416_134022,28.6,72,62,130,0,0,0,0
20260416_134131,28.6,--,62,--,0,0,0,0
20260416_134234,28.6,72.6,61,130,0,0,0,0
20260416_134335,28.6,72.9,62,130,0,0,0,0
20260416_134441,28.6,73.4,62,130,0,0,0,0
20260416_134543,28.7,73.3,62,130,0,0,0,0
20260416_134646,28.7,73.5,62,130,0,0,0,0
20260416_134754,--,--,--,--,0,0,0,0
20260416_134857,28.7,74.1,62,275,0,0,0,0
20260416_135003,28.7,74.5,62,272,0,0,0,0
20260416_135110,28.7,75.3,62,--,0,0,0,0
20260416_135223,--,--,62,--,0,0,0,0
20260416_135331,--,--,--,--,0,0,0,0
20260416_135432,28.8,75.5,62,266,0,0,0,0
